BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2016;010000024;010780054;TYPE2;;31;9;6;;5;2615;152;315;15;182;8;0;0;10786;2555;1303;0;2152;9822;354;2371;13;2112;0;40;17;4;0;2198;3246;7259;;28;0;1;587;598;443;41;;27;0;0
PERINAT;2016;010000032;010780062;TYPE1;;10;;;;2;559;48;0;0;0;0;0;0;1901;0;0;0;418;1725;78;445;0;413;0;5;2;2;;426;1993;1955;23;10;0;1;96;91;68;5;0;4;0;0
PERINAT;2016;010005239;010008407;TYPE1;;21;;;;3;754;81;0;0;0;0;0;0;2449;0;0;0;569;2269;104;559;0;566;0;3;3;4;;573;;;;20;0;1;177;176;124;6;;0;0;0
PERINAT;2016;010780203;010010718;TYPE1;;15;;;;3;1074;85;0;0;0;0;0;0;3952;0;0;0;806;3503;149;847;0;801;0;5;3;3;;808;;;;11;0;0;0;0;0;0;;7;0;0
PERINAT;2016;020000089;020000022;CPPR;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;0;;0;0;
PERINAT;2016;020000162;020000063;TYPE2;;18;9;6;0;4;1763;158;449;36;358;14;0;0;7620;2989;2438;0;1251;6373;289;1881;21;1233;0;18;11;5;0;1276;19352;3187;157;16;0;1;366;371;249;18;1;14;0;0
PERINAT;2016;020000394;020000253;TYPE2;;20;6;4;0;3;1291;95;279;5;63;11;0;0;5071;1585;249;0;894;4327;152;1025;1;882;0;12;3;7;0;923;;;;10;0;1;222;268;174;9;0;9;0;0
PERINAT;2016;020000519;020000261;TYPE2;;28;6;4;;3;1641;134;275;27;116;16;0;0;6159;1683;802;0;1101;5171;177;1076;0;1089;1;12;12;3;;1113;17873;3867;;14;0;1;358;364;305;22;2;6;1;0
PERINAT;2016;020000535;020000287;TYPE1;;16;;;;3;841;51;0;0;0;0;0;0;3830;0;0;0;606;3127;117;729;0;599;0;7;2;7;;618;19117;2021;263;12;0;1;282;280;183;24;0;0;0;0
PERINAT;2016;020001061;020004404;TYPE2;;17;6;;;3;944;64;153;6;0;0;0;0;4093;818;0;0;608;3161;168;1149;0;600;0;8;5;6;;617;3737;4837;46;6;0;1;109;136;56;2;1;0;0;0
