BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCUNDC;ACCMU;ACCMUDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2017;010000024;010780054;TYPE2;;31;9;6;;5;2452;203;337;23;202;15;0;0;10219;2285;1433;0;1948;9331;370;2773;17;1907;10;41;2;7;;1992;3076;6723;;21;0;1;551;587;451;25;;27;0;0
PERINAT;2017;010000032;010780062;TYPE1;;10;;;;2;547;68;0;0;0;0;0;0;1804;0;0;0;380;1633;67;362;0;379;3;1;0;4;2;382;1856;1873;37;7;0;1;94;96;64;8;0;7;0;0
PERINAT;2017;010005239;010008407;TYPE1;;21;;;;3;740;75;0;0;0;0;0;0;2571;0;0;0;574;2366;132;748;0;571;1;3;0;8;;577;;;;10;0;1;121;177;92;4;;0;0;0
PERINAT;2017;010780203;010010718;TYPE1;;15;;;;3;996;70;0;0;0;0;0;0;3702;0;0;0;753;3263;148;827;0;749;2;4;0;5;;758;;;;4;0;0;0;0;0;0;;2;0;0
PERINAT;2017;020000089;020000022;CPPR;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;0;;;;;;;0;
PERINAT;2017;020000162;020000063;TYPE2;;28;9;6;0;4;1727;160;385;10;326;16;0;0;6487;2631;2044;0;1266;5618;268;1405;16;1226;7;40;2;5;0;1318;18559;1461;172;16;0;1;419;366;299;32;1;6;0;0
PERINAT;2017;020000394;020000253;TYPE2;;20;6;4;;3;1204;73;277;11;92;11;0;0;4937;1711;533;0;826;4217;197;1313;1;808;3;18;0;9;0;852;;;;4;0;1;254;222;213;11;0;4;0;0
PERINAT;2017;020000519;020000261;TYPE2;;28;6;4;;3;1698;168;275;12;84;10;0;0;6175;1701;346;0;1121;5260;208;1278;0;1105;6;16;0;3;;1137;;;;12;0;1;341;358;284;19;;4;0;0
PERINAT;2017;020000535;020000287;TYPE1;;16;;;;3;816;53;0;0;0;0;0;0;3396;0;0;0;594;2885;116;719;0;588;6;6;0;3;;604;18282;2191;371;13;0;1;216;282;143;10;0;0;0;0
PERINAT;2017;020001061;020004404;TYPE2;;15;6;;;3;880;49;196;14;0;0;0;0;3614;1062;0;0;665;3168;153;857;0;660;1;5;0;11;;674;4839;5841;39;6;0;1;108;109;44;4;1;3;0;0
PERINAT;2017;020010047;020001632;TYPE1;;20;;;;4;865;83;0;0;0;0;0;0;3098;0;0;0;594;2760;164;890;0;591;2;3;0;4;;597;;;;1;0;0;0;0;0;0;1;3;0;0
PERINAT;2017;030000061;030780092;TYPE2;;20;6;;;4;1341;78;165;11;0;0;0;0;5270;1204;0;0;1020;4716;191;1116;2;1004;4;16;0;8;;1036;9803;8020;679;12;0;1;167;167;96;12;;10;0;0
PERINAT;2017;030000079;030780100;TYPE2;;24;6;2;;3;1383;121;192;10;41;4;0;0;4852;1331;328;0;1021;4346;125;662;1;1005;10;16;0;3;1;1045;1800;4305;;18;0;1;290;282;187;11;;3;0;0
PERINAT;2017;030000087;030780118;TYPE2;;18;6;;;;1355;90;166;6;0;0;0;0;4976;1511;0;0;1053;4450;213;1133;3;1040;7;13;1;4;;1078;;;;18;0;1;235;275;104;8;;7;0;0
PERINAT;2017;030781116;030000426;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;5;13;5;;;2;0;0
PERINAT;2017;040000093;040780215;TYPE1;;18;;;;2;1101;96;0;0;0;0;0;0;4017;0;0;0;749;3332;148;884;1;741;4;8;1;5;18;760;4774;5545;;49;0;1;323;224;235;1;;6;0;0
PERINAT;2017;040000135;050002948;;EXT;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;687;0;0;0;0;0;;0;0;;0;0;0
PERINAT;2017;040000911;040788879;TYPE1;;10;;;;2;624;128;0;0;0;0;0;0;2048;0;0;0;364;1665;84;563;0;361;1;3;0;1;;369;1784;1957;;18;0;1;159;151;99;1;;0;0;0
PERINAT;2017;050000231;050000116;TYPE1;;9;;;;2;480;55;0;0;0;0;0;0;1859;0;0;0;366;1720;78;505;1;366;2;0;0;1;;367;3598;2411;2;13;1;1;117;129;108;2;3;0;0;0
PERINAT;2017;050000256;050000124;CPPR;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;25;406;4;0;0;0;0;;0;0;;0;0;0
PERINAT;2017;050000348;050002948;TYPE2;;22;4;0;0;4;1310;83;186;8;0;0;0;0;5066;1107;0;0;928;4269;206;1295;1;918;5;10;0;4;0;941;5447;3742;67;36;1;1;136;122;34;10;9;1;0;0
PERINAT;2017;060000478;060780897;TYPE2;;32;9;3;;6;2061;107;225;10;84;11;0;0;8414;1755;516;0;1757;7770;241;1445;3;1730;9;27;0;7;;1788;;;;47;0;1;307;418;215;16;;4;0;0
PERINAT;2017;060000510;060780954;TYPE2;;16;4;;;3;1308;78;223;11;0;0;0;0;4497;1547;0;0;1025;3985;155;911;0;1013;6;12;0;3;0;1033;10330;3867;363;131;0;1;385;192;297;11;5;8;0;0
PERINAT;2017;060000544;060780988;TYPE2;;28;6;;;4;1874;115;157;17;0;0;0;0;7819;1466;0;0;1459;6947;294;1823;0;1438;7;21;0;6;0;1494;8881;2064;107;18;0;1;352;401;180;43;13;11;0;0
PERINAT;2017;060002102;060791761;CPPR;;0;;;;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2303;2259;;0;0;1;160;136;133;1;0;0;0;0
PERINAT;2017;060021417;060000221;;;0;;;;;38;37;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;82;91;0;3;;8;0;0
