BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2016;010000024;010780054;M1030;9;3;2.67;1;0;1;
PERINAT_P;2016;010000024;010780054;M1140;4;;2.13;1;1;;
PERINAT_P;2016;010000024;010780054;M2050;9;5;5.56;1;0;;
PERINAT_P;2016;010000024;010780054;MIVG;2;6;0.15;;;;
PERINAT_P;2016;010000024;010780054;N2340;9;13;15.07;;;;
PERINAT_P;2016;010000024;010780054;N2700;;3;1.35;;;;
PERINAT_P;2016;010000024;010780054;N2800;17;25;31.58;;;;
PERINAT_P;2016;010000024;010780054;N280H;10;11;17.31;;;;
PERINAT_P;2016;010000032;010780062;M2050;1;1;1.93;1;0;;
PERINAT_P;2016;010000032;010780062;N2800;7;4;10;;;;
PERINAT_P;2016;010000032;010780062;N280H;7;4;10;;;;
PERINAT_P;2016;010005239;010008407;M1030;0;0;0;1;;0;
PERINAT_P;2016;010005239;010008407;M2050;1;2;2.72;1;;;
PERINAT_P;2016;010005239;010008407;N2700;0;1;0.08;;;;
PERINAT_P;2016;010005239;010008407;N2800;12;6;16.2;;;;
PERINAT_P;2016;010005239;010008407;N280H;12;6;16.2;;;;
PERINAT_P;2016;010780203;010010718;M1030;4;;4;;1;;
PERINAT_P;2016;010780203;010010718;M1140;2;;2;0;1;;
PERINAT_P;2016;010780203;010010718;M2050;2;1;2.3;;1;;
PERINAT_P;2016;010780203;010010718;N2800;8;4;11.68;;;;
PERINAT_P;2016;010780203;010010718;N280H;8;4;11.68;;;;
PERINAT_P;2016;010780203;010010718;N3120;6;7;11.24;;;;
PERINAT_P;2016;020000089;020000022;N2800;0;2;0.5;;;;
PERINAT_P;2016;020000162;020000063;M1140;5;2;5.5;1;0;;
PERINAT_P;2016;020000162;020000063;M2050;7;3;7.9;1;0;;
PERINAT_P;2016;020000162;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2016;020000162;020000063;N2340;15;7;19.28;;;;
PERINAT_P;2016;020000162;020000063;N2700;2;0;1.95;;;;
PERINAT_P;2016;020000162;020000063;N2800;11;14;22.22;;;;
PERINAT_P;2016;020000162;020000063;N280H;11;14;22.22;;;;
PERINAT_P;2016;020000394;020000253;M1030;0;0;0;1;0;0;0
PERINAT_P;2016;020000394;020000253;M1140;1;0;1;1;0;;
PERINAT_P;2016;020000394;020000253;M2050;3;3;6.06;1;0;;
PERINAT_P;2016;020000394;020000253;N2340;;2;1;;;;
PERINAT_P;2016;020000394;020000253;N2700;0;1;0.09;;;;
PERINAT_P;2016;020000394;020000253;N2800;19;2;18.12;;;;
PERINAT_P;2016;020000394;020000253;N280H;19;2;18.12;;;;
PERINAT_P;2016;020000519;020000261;M1030;1;;1;1;0;0;0
PERINAT_P;2016;020000519;020000261;M1140;5;1;5.5;1;;;
PERINAT_P;2016;020000519;020000261;M2050;10;1;10;0;1;;
PERINAT_P;2016;020000519;020000261;MIVG;3;;2;;;;
PERINAT_P;2016;020000519;020000261;N2340;8;2;9.6;;;;
PERINAT_P;2016;020000519;020000261;N2700;;1;0.6;;;;
PERINAT_P;2016;020000519;020000261;N2800;13;4;15.85;;;;
PERINAT_P;2016;020000519;020000261;N280H;2;;2;;;;
PERINAT_P;2016;020000535;020000287;M1030;0;0;0.5;1;0;0;
PERINAT_P;2016;020000535;020000287;M1140;0;3;0.4;1;0;;
PERINAT_P;2016;020000535;020000287;M2050;0;10;2.3;0;1;;
PERINAT_P;2016;020000535;020000287;N2800;13;;11.5;;;;
PERINAT_P;2016;020000535;020000287;N280H;8;;7.17;;;;
PERINAT_P;2016;020001061;020004404;M1030;2;;0.75;0;1;;0
PERINAT_P;2016;020001061;020004404;M1140;1;2;1.02;0;1;;
PERINAT_P;2016;020001061;020004404;M2050;4;2;4.36;0;1;;
PERINAT_P;2016;020001061;020004404;N2340;2;1;2.85;;;;
PERINAT_P;2016;020001061;020004404;N2700;1;;0.02;;;;
PERINAT_P;2016;020001061;020004404;N2800;12;6;16.41;;;;
PERINAT_P;2016;020001061;020004404;N3120;1;;0.5;;;;
PERINAT_P;2016;020010047;020001632;M1030;6;1;6.5;;1;;
PERINAT_P;2016;020010047;020001632;M1140;3;;3;;1;;
PERINAT_P;2016;020010047;020001632;M2050;5;;5;;1;;
PERINAT_P;2016;020010047;020001632;N2340;1;;0.8;;;;
PERINAT_P;2016;020010047;020001632;N2700;1;;1;;;;
PERINAT_P;2016;020010047;020001632;N2800;12;;10;;;;
PERINAT_P;2016;020010047;020001632;N280H;7;;5;;;;
PERINAT_P;2016;020010047;020001632;N3120;1;;1;;;;
PERINAT_P;2016;030000061;030780092;M1030;0;0;0;1;0;0;0
PERINAT_P;2016;030000061;030780092;M1140;0;4;0.67;0;1;;
PERINAT_P;2016;030000061;030780092;M2050;0;6;0.52;0;1;;
PERINAT_P;2016;030000061;030780092;MIVG;0;1;0.3;;;;
PERINAT_P;2016;030000061;030780092;N2340;4;1;4.53;;;;
PERINAT_P;2016;030000061;030780092;N2800;24;9;28.31;;;;
PERINAT_P;2016;030000061;030780092;N280H;22;8;12;;;;
PERINAT_P;2016;030000079;030780100;M1030;;;;;1;0;0
PERINAT_P;2016;030000079;030780100;M1140;5;2;6.27;0;1;;
PERINAT_P;2016;030000079;030780100;M2050;4;1;4.75;0;1;;
PERINAT_P;2016;030000079;030780100;N2340;8;1;8.8;;;;
PERINAT_P;2016;030000079;030780100;N2700;1;;1;;;;
PERINAT_P;2016;030000079;030780100;N2800;19;6;22.6;;;;
PERINAT_P;2016;030000087;030780118;M1030;5;3;6.02;1;0;0;0
PERINAT_P;2016;030000087;030780118;M1140;2;3;3.56;0;1;;
PERINAT_P;2016;030000087;030780118;M2050;8;0;7.63;0;1;;
PERINAT_P;2016;030000087;030780118;MIVG;8;0;7.63;;;;
PERINAT_P;2016;030000087;030780118;N2700;1;0;1;;;;
PERINAT_P;2016;030000087;030780118;N2800;20;18;26.02;;;;
PERINAT_P;2016;030000087;030780118;N280H;11;0;11;;;;
PERINAT_P;2016;030000087;030780118;N3120;0;1;0.6;;;;
PERINAT_P;2016;030780548;030000194;MIVG;1;1;1.1;;;;
PERINAT_P;2016;030781116;030000426;M2050;1;;0.1;0;0;;
PERINAT_P;2016;040000093;040780215;M1030;;7;0;1;;0;
PERINAT_P;2016;040000093;040780215;M1140;2;2;1.32;0;1;;
PERINAT_P;2016;040000093;040780215;M2050;4;1;3.61;0;1;;
PERINAT_P;2016;040000093;040780215;MIVG;4;1;3.61;;;;
PERINAT_P;2016;040000093;040780215;N2340;4;2;5.74;;;;
PERINAT_P;2016;040000093;040780215;N2700;1;;0.34;;;;
PERINAT_P;2016;040000093;040780215;N2800;10;10;15.74;;;;
PERINAT_P;2016;040000093;040780215;N280H;10;10;15.74;;;;
PERINAT_P;2016;040000911;040788879;M1140;;1;0.5;0;1;;
PERINAT_P;2016;040000911;040788879;M2050;1;3;2.71;;;;
PERINAT_P;2016;040000911;040788879;N2340;1;;1;;;;
PERINAT_P;2016;040000911;040788879;N2700;;1;0.3;;;;
PERINAT_P;2016;040000911;040788879;N2800;7;3;8.39;;;;
PERINAT_P;2016;040000911;040788879;N280H;7;3;8.39;;;;
PERINAT_P;2016;050000231;050000116;M2050;1;1;1.46;;;;
PERINAT_P;2016;050000231;050000116;N2700;1;0;1;;;;
PERINAT_P;2016;050000231;050000116;N2800;0;11;8.83;;;;
PERINAT_P;2016;050000231;050000116;N280H;0;11;8.83;;;;
PERINAT_P;2016;050000348;050002948;M1140;0;6;2.17;;;;
PERINAT_P;2016;050000348;050002948;M2050;0;8;4.66;;;;
PERINAT_P;2016;050000348;050002948;MIVG;0;1;0.3;;;;
PERINAT_P;2016;050000348;050002948;N2340;1;1;1.43;;;;
PERINAT_P;2016;050000348;050002948;N2800;8;16;19.47;;;;
PERINAT_P;2016;050000348;050002948;N280H;4;5;5;;;;
PERINAT_P;2016;060000478;060780897;M1030;8;4;9.48;;;;
PERINAT_P;2016;060000478;060780897;M1140;4;1;0.57;;;;
PERINAT_P;2016;060000478;060780897;M2050;6;7;4.34;;;;
PERINAT_P;2016;060000478;060780897;MIVG;;1;0.45;;;;
PERINAT_P;2016;060000478;060780897;N2340;13;4;15.62;;;;
PERINAT_P;2016;060000478;060780897;N2700;;1;0.9;;;;
PERINAT_P;2016;060000478;060780897;N2800;25;6;26.23;;;;
PERINAT_P;2016;060000478;060780897;N280H;10;4;11.7;;;;
PERINAT_P;2016;060000510;060780954;M1140;6;5;5.9;0;1;;
PERINAT_P;2016;060000510;060780954;M2050;5;3;5.35;0;1;;
PERINAT_P;2016;060000510;060780954;MIVG;;2;0.3;;;;
PERINAT_P;2016;060000510;060780954;N2700;;;0.2;;;;
PERINAT_P;2016;060000510;060780954;N2800;12;6;15.64;;;;
PERINAT_P;2016;060000544;060780988;M1030;1;1;1.2;1;;0;
PERINAT_P;2016;060000544;060780988;M1140;1;;1;1;;;
PERINAT_P;2016;060000544;060780988;M2050;7;6;8.2;1;;;
PERINAT_P;2016;060000544;060780988;MIVG;;2;0.5;;;;
PERINAT_P;2016;060000544;060780988;N2340;2;2;3.3;;;;
PERINAT_P;2016;060000544;060780988;N2700;;1;0.3;;;;
PERINAT_P;2016;060000544;060780988;N2800;21;9;25.93;;;;
PERINAT_P;2016;060000544;060780988;N280H;12;3;13.7;;;;
PERINAT_P;2016;060000544;060780988;N3120;;2;0.24;;;;
PERINAT_P;2016;060002102;060791761;M1140;;1;0.2;0;0;;
PERINAT_P;2016;060002102;060791761;M2050;;1;1;0;0;;
PERINAT_P;2016;060002102;060791761;N2800;1;1;1;;;;
PERINAT_P;2016;060780517;060000239;M1030;9;;9;0;1;0;1
PERINAT_P;2016;060780517;060000239;M1140;;5;2.5;0;1;;
PERINAT_P;2016;060780517;060000239;M2050;8;2;8.3;0;1;;
PERINAT_P;2016;060780517;060000239;MIVG;;5;2.5;;;;
PERINAT_P;2016;060780517;060000239;N2700;;1;0.2;;;;
PERINAT_P;2016;060780517;060000239;N2800;13;1;15.65;;;;
PERINAT_P;2016;060780517;060000239;N280H;2;;2;;;;
PERINAT_P;2016;060780517;060000239;N3120;;1;0.25;;;;
PERINAT_P;2016;060780590;060000270;M1030;1;;1;0;0;;
PERINAT_P;2016;060780590;060000270;M2050;1;;1;0;0;;
PERINAT_P;2016;060780699;060000346;M1030;;2;0.1;;;;
PERINAT_P;2016;060780699;060000346;M2050;;5;0.1;;;;
PERINAT_P;2016;060780715;060000361;M1030;;8;3.6;1;0;;
PERINAT_P;2016;060780715;060000361;M1140;;32;4.8;1;0;;
PERINAT_P;2016;060780715;060000361;M2050;;15;6;1;0;;
PERINAT_P;2016;060780715;060000361;N2340;2;1;2.6;;;;
PERINAT_P;2016;060780715;060000361;N2700;;1;0.2;;;;
PERINAT_P;2016;060780715;060000361;N2800;18;3;19.1;;;;
PERINAT_P;2016;060780715;060000361;N280H;8;1;8.6;;;;
PERINAT_P;2016;060780715;060000361;N3120;;1;0.2;;;;
PERINAT_P;2016;060780756;060000403;M1030;5;1;6;1;;1;
